incident_number,area_occ,rpt_dist,dispatch_date,dispatch_time,call_type_code,call_type_text
PD26050400001001,Southeast,1836,2026-05-04,08:12:00,211,211 ROBBERY
PD26050400001002,Southeast,1836,2026-05-05,22:40:00,245,245 ADW
PD26050600001003,Southeast,1842,2026-05-06,14:18:02,459,459 BURGLARY
PD26050700001004,Southeast,1844,2026-05-07,01:05:00,415,415 DISTURBANCE
PD26051100001005,Southeast,1836,2026-05-11,19:30:00,211,211 ROBBERY
PD26051200001006,Southeast,1838,2026-05-12,03:22:00,245,245 ADW SHOTS FIRED
PD26051300001007,Southeast,1842,2026-05-13,16:44:00,487,487 GRAND THEFT
PD26051800001008,Southeast,1836,2026-05-18,21:10:00,211,211 ROBBERY
PD26051900001009,Southeast,1844,2026-05-19,23:55:00,245,245 ADW
PD26052000001010,Southeast,1842,2026-05-20,12:00:00,459,459 BURGLARY
PD26052500001011,Southeast,1836,2026-05-25,20:05:00,211,211 ROBBERY
PD26052600001012,Southeast,1838,2026-05-26,02:14:00,245,245 BATTERY
PD26060100001013,Southeast,1842,2026-06-01,18:30:00,211,211 ROBBERY
PD26060800001014,Southeast,1836,2026-06-08,17:45:00,245,245 ADW
PD26050400002001,Van Nuys,0935,2026-05-04,09:00:00,594,594 VANDALISM
PD26050500002002,Van Nuys,0936,2026-05-05,11:20:00,484,484 PETTY THEFT
PD26051100002003,Van Nuys,0935,2026-05-11,13:40:00,10851,10851 STOLEN VEHICLE
PD26051200002004,Van Nuys,0938,2026-05-12,15:05:00,459,459 BURGLARY
PD26051800002005,Van Nuys,0935,2026-05-18,10:10:00,23152,23152 DUI TRAFFIC
PD26051900002006,Van Nuys,0936,2026-05-19,16:25:00,487,487 GRAND THEFT
PD26052500002007,Van Nuys,0935,2026-05-25,08:50:00,594,594 VANDALISM
PD26052600002008,Van Nuys,0938,2026-05-26,14:00:00,484,484 THEFT
PD26060100002009,Van Nuys,0935,2026-06-01,12:30:00,10851,10851 STOLEN VEHICLE
PD26060800002010,Van Nuys,0936,2026-06-08,19:15:00,459,459 BURGLARY
PD26050400003001,Central,0162,2026-05-04,23:10:00,415,415 DISTURBANCE
PD26050500003002,Central,0164,2026-05-05,00:45:00,647,647 DRUNK
PD26051100003003,Central,0162,2026-05-11,21:30:00,415,415 PARTY NOISE
PD26051200003004,Central,0166,2026-05-12,02:00:00,211,211 ROBBERY
PD26051800003005,Central,0162,2026-05-18,22:50:00,415,415 DISTURBANCE
PD26051900003006,Central,0164,2026-05-19,01:15:00,11350,11350 NARCOTICS
PD26052500003007,Central,0162,2026-05-25,20:40:00,415,415 DISTURBANCE
PD26060100003008,Central,0166,2026-06-01,23:35:00,647,647 DRINKING
PD26060800003009,Central,0162,2026-06-08,21:05:00,415,415 DISTURBANCE
PD26050400004001,Hollywood,0645,2026-05-04,14:00:00,484,484 THEFT
PD26050500004002,Hollywood,0646,2026-05-05,18:20:00,594,594 VANDALISM
PD26051100004003,Hollywood,0645,2026-05-11,12:10:00,11350,11350 DRUGS
PD26051200004004,Hollywood,0648,2026-05-12,16:40:00,T/C,TRAFFIC COLLISION T/C
PD26051800004005,Hollywood,0645,2026-05-18,19:55:00,487,487 GRAND THEFT
PD26052500004006,Hollywood,0646,2026-05-25,13:25:00,484,484 THEFT
PD26060100004007,Hollywood,0645,2026-06-01,15:50:00,5150,5150 MENTAL WELFARE
PD26060800004008,Hollywood,0648,2026-06-08,11:30:00,484,484 THEFT
PD26050400005001,Newton,1334,2026-05-04,20:00:00,245,245 ADW
PD26051100005002,Newton,1335,2026-05-11,21:45:00,211,211 ROBBERY
PD26051800005003,Newton,1334,2026-05-18,22:30:00,245,245 SHOTS FIRED
PD26052500005004,Newton,1336,2026-05-25,23:15:00,187,187 HOMICIDE
PD26060100005005,Newton,1334,2026-06-01,20:50:00,245,245 ADW
PD26060800005006,Newton,1335,2026-06-08,21:20:00,211,211 ROBBERY
PD26050600006001,Central,0162,2026-05-06,10:00:00,620,620 FAMILY
PD26052000006002,Central,0164,2026-05-20,11:30:00,620,620 DOM VIOL
PD26060300006003,Central,0162,2026-06-03,09:15:00,620,620 FAMILY
PD26050700006004,Van Nuys,0935,2026-05-07,03:30:00,906,906 CODE 30 RINGER
PD26052100006005,Van Nuys,0936,2026-05-21,04:10:00,906,906 SILENT ALARM
PD26050800006006,Hollywood,0645,2026-05-08,13:00:00,904,904 AMB
PD26052200006007,Hollywood,0646,2026-05-22,14:20:00,907,907 AMB O/D
PD26050900006008,Southeast,1836,2026-05-09,16:00:00,CODE6,CODE 6
PD26052300006009,Southeast,1838,2026-05-23,17:40:00,CODE6,CODE 6
PD26051000006010,Newton,1334,2026-05-10,19:00:00,422,422 CRIMINAL THREATS
PD26052400006011,Newton,1336,2026-05-24,20:30:00,422,422 CRIMINAL THREATS
